Europe
segment Albania
40.962296 19.501152
40.9612 19.50563
40.956123 19.50428
40.956795 19.50009
40.960392 19.4994
40.962296 19.501152
segment Albania
40.95708 19.51741
40.95606 19.514374
40.959362 19.510906
40.961086 19.512566
40.96022 19.516544
40.95708 19.51741
segment Albania
40.48073 19.299719
40.482967 19.29253
40.49517 19.286507
40.498516 19.281883
40.51024 19.275616
40.51538 19.27678
40.517567 19.281618
40.515675 19.287264
40.509285 19.291063
40.50265 19.30421
40.500458 19.305685
40.49611 19.305923
40.488415 19.301168
40.48073 19.299719
segment Albania
41.999798 19.393654
42.005505 19.390144
42.014294 19.383827
42.022392 19.378633
42.02728 19.376959
42.035103 19.378521
42.04433 19.383516
42.049133 19.38599
42.054592 19.386827
42.060772 19.387054
42.067757 19.387691
42.075233 19.389818
42.082935 19.395018
42.08552 19.398819
42.091278 19.403759
42.09601 19.40521
42.10001 19.407274
42.10367 19.409903
42.108215 19.408792
42.14449 19.351229
42.156116 19.33105
42.18192 19.29396
42.23411 19.348757
42.241314 19.357662
42.246845 19.359528
42.252266 19.359852
42.257835 19.362232
42.264046 19.36816
42.26999 19.37568
42.275856 19.382175
42.283375 19.38482
42.290504 19.387518
42.29531 19.390003
42.299652 19.396702
42.307266 19.406088
42.320404 19.422543
42.32841 19.42669
42.334522 19.425892
42.341393 19.424994
42.34903 19.423994
42.356926 19.426598
42.36768 19.431429
42.37671 19.439085
42.37995 19.441261
42.38494 19.446327
42.38881 19.45726
42.39275 19.469225
42.39548 19.47511
42.39871 19.482489
42.406136 19.489325
42.412685 19.494715
42.424236 19.499977
42.43483 19.507969
42.440468 19.5114
42.445293 19.51962
42.44673 19.523598
42.44897 19.52799
42.455536 19.528183
42.459267 19.531864
42.46409 19.540089
42.474365 19.549173
42.48466 19.553051
42.4895 19.556072
42.494595 19.562706
42.502705 19.568432
42.511707 19.570398
42.520363 19.57293
42.524693 19.579666
42.527966 19.593313
42.53866 19.613827
42.546185 19.622242
42.55364 19.62963
42.558147 19.62801
42.56297 19.625307
42.56879 19.620392
42.572464 19.617836
42.5759 19.617395
42.583973 19.62262
42.5947 19.63272
42.617058 19.654903
42.62945 19.666891
42.635593 19.67759
42.636024 19.683798
42.637184 19.68939
42.640453 19.692106
42.64658 19.697071
42.65059 19.704914
42.654457 19.710688
42.660675 19.711466
42.663742 19.71682
42.66515 19.72604
42.665615 19.732769
42.66337 19.739317
42.65685 19.74536
42.652756 19.747442
42.648422 19.751642
42.648083 19.757948
42.646877 19.762796
42.64382 19.763182
42.641075 19.762484
42.63826 19.76075
42.634228 19.758127
42.630024 19.758656
42.62458 19.763515
42.61049 19.771545
42.602932 19.779274
42.596268 19.78324
42.59314 19.782589
42.59251 19.779016
42.592323 19.770697
42.58797 19.763422
42.584286 19.760237
42.580463 19.760717
42.577408 19.7611
42.57182 19.763887
42.563267 19.757145
42.55774 19.755234
42.555305 19.753456
42.551212 19.755533
42.544476 19.758465
42.53958 19.760122
42.532158 19.764181
42.52487 19.770304
42.515778 19.772486
42.512722 19.77287
42.50762 19.777153
42.504227 19.783827
42.50229 19.789276
42.495697 19.794266
42.488483 19.801414
42.481693 19.814753
42.474625 19.829685
42.472717 19.835646
42.473904 19.841743
42.478317 19.844318
42.48068 19.845066
42.483326 19.849943
42.48451 19.856041
42.486042 19.861576
42.4866 19.864109
42.48688 19.868238
42.489075 19.877857
42.49151 19.879639
42.495396 19.8802
42.498974 19.88184
42.499878 19.88381
42.499603 19.891132
42.494537 19.895922
42.491344 19.89996
42.493984 19.904839
42.497528 19.905964
42.502945 19.906338
42.50767 19.907839
42.512848 19.916052
42.523304 19.939764
42.524937 19.946854
42.52181 19.951923
42.518475 19.959621
42.515903 19.967226
42.518955 19.978308
42.520832 19.983286
42.521175 19.988451
42.518356 19.998167
42.51811 20.0
42.517067 20.007696
42.522865 20.013762
42.533943 20.018145
42.541023 20.02041
42.544323 20.023657
42.550808 20.03433
42.556355 20.048246
42.56034 20.0561
42.563843 20.06245
42.565746 20.067953
42.565002 20.080027
42.560818 20.092514
42.551395 20.10146
42.54019 20.1127
42.53469 20.122732
42.52531 20.14416
42.51689 20.16859
42.51125 20.176548
42.503605 20.177454
42.499954 20.18049
42.497166 20.184984
42.494278 20.18793
42.487465 20.189775
42.482944 20.191353
42.47974 20.195374
42.4775 20.2024
42.472736 20.206085
42.466385 20.203194
42.460487 20.201292
42.455685 20.204458
42.449974 20.211374
42.44509 20.219229
42.439545 20.22872
42.431057 20.234398
42.42411 20.234175
42.41605 20.22265
42.412094 20.221037
42.406742 20.221668
42.40093 20.227028
42.3949 20.23501
42.38671 20.245323
42.376694 20.251171
42.36752 20.252247
42.359646 20.249535
42.3527 20.249311
42.341232 20.250654
42.33414 20.25408
42.327625 20.260551
42.323673 20.270872
42.32661 20.286615
42.32877 20.296223
42.3285 20.304037
42.326473 20.308424
42.322517 20.306808
42.31946 20.307163
42.318165 20.310946
42.319958 20.314888
42.325386 20.321522
42.32849 20.327908
42.33131 20.335884
42.331837 20.344124
42.327843 20.353926
42.32049 20.359444
42.314922 20.36268
42.311626 20.371359
42.307453 20.390512
42.304085 20.398159
42.29858 20.40242
42.293205 20.408741
42.288692 20.416515
42.28905 20.422178
42.28604 20.435484
42.2787 20.453428
42.27155 20.468237
42.2634 20.479527
42.25484 20.490341
42.245163 20.501797
42.230675 20.51638
42.219433 20.527485
42.209816 20.533743
42.196247 20.538372
42.18411 20.541285
42.17357 20.545053
42.159615 20.55593
42.14493 20.567398
42.13665 20.570389
42.126358 20.572054
42.117344 20.56944
42.10884 20.568838
42.102055 20.571144
42.093166 20.570585
42.087276 20.568657
42.079567 20.568483
42.071793 20.573483
42.066727 20.578695
42.05647 20.593266
42.05258 20.59886
42.04742 20.602531
42.0363 20.603247
42.026554 20.607424
42.020275 20.611732
42.01059 20.616932
42.001926 20.619953
41.995937 20.622679
41.991444 20.624723
41.985485 20.62796
41.982586 20.630857
41.975254 20.636824
41.96761 20.637667
41.959362 20.634964
41.952705 20.63312
41.942295 20.626535
41.937233 20.619362
41.934246 20.608353
41.930267 20.60003
41.923325 20.593584
41.917816 20.591618
41.913612 20.592083
41.908737 20.59417
41.89982 20.599277
41.89195 20.602724
41.886024 20.600288
41.883446 20.595938
41.88052 20.585962
